/////////////////////////////////////////////////////////////////////
// ANI07-08

filerange 55000 55100
rangestart 55000 55100

55090	The Movers are Progenitor AI constructs. They know no age, no despair. All this time they have tendered the derelicts of their masters.
55091	
55092	
55093	From their memory banks we have learned that the Progenitors were not indigenous to our galaxy.
55094	This section of hull was once a massive foundry where the Three Hyperspace Cores were forged.
55095	Coordinates have been set for the aft section of the wreck where the Dreadnaught is located.
55096	The Prophecy states: "He who unites the Three will unleash the Great Maker Sajuuk."



rangeend
